"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",19-Apr-17,3,The phone is as good as new without any scratches,"The phone is as good as new without any scratches. Until now it's been working great. As described, it came with a generic charger and cable without any headphones. The only problem is that it does not seem unlocked. It is not recognizing GSM SIM outside of country."
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",1-Jul-17,5,and great price. why buy a phone somewhere else and ...,purchased for my father. got here one day late. no big deal. phone was unlocked. item came well packaged with all listed items. plus one glass screen protector and one plastic screen protector. not sure if it was a amazon freebie or seller freebie. was able to set up phone no problem. and great price. why buy a phone somewhere else and risk it. I will definitely buy another phone from amazon without a second thought.
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",27-May-17,5,It's now been about 6 weeks since my purchase and the phone works perfect. No issues whatsoever,"So I wanted to wait a while before reviewing, just in case. It's now been about 6 weeks since my purchase and the phone works perfect. No issues whatsoever. And it was in brand new condition when I received it. I will be ordering another for myself very soon, the one I purchased was for my daughter."
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",28-Jan-17,5,Great phone,Phone came on time and was in very good condition . One scratch on the bottom next to the head phone socket but no big deal. Don't get so terrified by the reviews
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",12-Jul-17,1,Camera sound won't turn off!!!,"This is the second time we have attempted to order this phone and both times the camera shutter sound won't turn off! I have tried amazon technical support and although helpful and nice they couldn't solve the problem.  Turns out some countries don't allow phones to turn off their camera sound, meaning we got a phone that was meant for another country.  Returning again and trying eBay!"
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",6-Feb-18,3,battery,"It works, and it's clean. Professional packaging and it arrived fast.Downside, the battery must have not been replaced because it won't even last half a day idle. Good thing is that at least this isn't a waterproof phone and I can easily buy a battery replacement kit for less than $30 on Amazon. It really would've been great if they put new battery so it won't suffer on performance due to shit iOS's ""get a new phone or your old phone will be slow"" tactic aka BATTERY GATE. I figured I would run into a problem like this since it's a refurbished one anyway. It's impossible to know the performance and battery life without activating the phone. I bet a lot of people have this problem but who would actually return it once it's activated? But hey, I'm not paying a thousand for a new phone and I bought an iPhone knowing there's an ongoing battery gate controversy so I'll just suck it up and won't even bother sending a complaint.But, I chose to give it 3 stars since the price wasn't bad, it seems easy enough to replace battery, and it doesn't cost that much to buy a battery kit.  I don't ""like"" it, but it's okay."
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",31-Jul-17,5,Five Stars,"Awesome phone, looks new and works perfectly"
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",27-Jun-17,1,Screen Responsive Half the Time,"We were excited to receive this refurbished phone --- it appeared to be in great shape (like new) and easy to get set up. After a few uses the screen began to be unresponsive from time to time.  We have turned the phone on and off several times and the problem has continued and is now occurring with greater frequency. The screen is now unresponsive about 50% of the time. remains inactive The home button, volume controls and off button still work and the phone responds to them, so we know the phone is still working, but the screen just isn't responding. Tried it with the screen protector on and off, and the outcome is the same. Really disappointed in this transaction and would request an exchange or refund."
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",3-Mar-17,1,Not very happy considering I'm a first time iPhone user,I ordered an iPhone 6 and received an iPhone 5. Not very happy considering I'm a first time iPhone user.
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",7-Mar-18,3,Test Your Phone Fully/Siri Cant Heat Me...,"When i received this item it was in perfect shape with no scratches or defects; to the naked eye at least. After about a week, i realized that Siri couldn't hear me unless connected to headphone/bluetooth device. Thought this could be a software issue, because the iOS for the X had just come out and I didn't drop the phone or get it wet. All that being said, i still gave the benefit of the doubt to the seller for running all the necessary test to be ""certified refurbished"" . Then last week i took Apple up on its 29$ battery exchange program and told them about the Siri problem i was having and they took a look at it. They ran some test and said my front mic (aka Siris ear) wasn't working and that it was a hardware issue and that they often can go out with regular use. This isn't a huge problem for me as i dont use Siri that much (especially now), but i know a lot of customers who would and be very upset by this. Just be sure to fully test your phone, and be sure not to let the window pass for returns/exchanges.  2.5 Stars."
"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) ",13-Oct-16,1,AWFUL,"DO NOT BUY IT. I decided to buy this phone even though there were a lot of bad reviews and I fully regret. I bought this UNLOCKED phone and when I tried to put my SIM card in, it had no service. After taking it to 4 different tech places they told me the phone was LOCKED BY SPRINT. I am still trying to figure out what to do with it. Don't buy, it will just cause problems."
