Phone_Name,Date,Rating_Out_of_5,Review_Title,Review_Text
Samsung Galaxy S7 G930F,"October 6, 2016",1.0,Manufacturer Defect,"The Galaxy S7 was wonderful while it worked. Great screen, great battery life, decent software, amazing camera, MicroSD slot. Everything you'd want in a phone. The waterproof claim is also impressive, although I was never bold enough to test it. I put the phone in a rugged UAG case and babied it, hoping to get a few years out of it.However, six months after purchasing, the screen suddenly began to die. Half the screen is now dead despite there being no physical damage or trauma to the phone. I babied this thing, seriously. No drops, no scratches, no cracks, nothing. I suspect a manufacture defect with the screen's connector or something. First, I called Samsung. They refuse to repair international versions of the Galaxy S7, even if you offer to pay for the repair. Then, I called the seller about getting this repaired or RMA'd. They didn't respond. I contacted Amazon and they also contacted the seller. No response. I called the seller, no one picked up the phone and the voice mail box was full. Spend the extra cash and get this from a different seller. I'm out a lot of money for a faulty phone.For more information about this defect google ""vertical lines in screen,"" - it seems fairly common and most people have a similar story."
Samsung Galaxy S7 G930F,"August 27, 2016",1.0,False advertising,The description on this phone said Dual Sim and it wasn't.  I tried putting in a second SIM after buying one and was told the phone was for a single SIM.  That is false marketing.  I want myou money back or a DUAL Sim phone
Samsung Galaxy S7 G930F,"November 10, 2016",5.0,overall I'm pretty satisfied. I was afraid I would get a ...,"I bought this on June 29, 2016. So far this phone has given me no problems. It doesn't overheat, there are no problems with the software, it hasn't  turned off unexpectantly, overall I'm pretty satisfied. I was afraid I would get a bad one but I didn't. The camara quality is amazing! I'm completely satisfied."
Samsung Galaxy S7 G930F,"December 8, 2017",1.0,Was a fake phone!,"If there was a 0 star of rate that. Recueved the phone in a s7 box. Came completely dead. Charged, took 10 hours to fully charge. Started going through it and it didn't have most of the features a s7 has. Took it to a phone place only to be told it was a fake. The serial number was fake everything was fake. Had it confirmed by another it was indeed a fake s7. Returned same day then they wanted me to pay return postage on a free shipping item. Nope. Then didn't refund the entire amount I paid. Then tried to return the money on an Amazon gift card! Nope! 2 weeks later and countless calls finally have returned complete. 100% fake phone! Pls do your research on what an actual s7 can do and then compare to this. Its missing ALOT!"
Samsung Galaxy S7 G930F,"June 9, 2017",1.0,So it turned into a waste of time and a huge,Would rate 0 stars if i could doesn't work with any carrier still had someone else's info signed in. So it turned into a waste of time and a huge headache
Samsung Galaxy S7 G930F,"September 17, 2017",1.0,"Nice at first, then problems, now dead at 10 months","I bought this from seller ""The Wireless Circle"". I am a US AT&T customer in a 4G LTE market.First off, the phone came with the UK electrical outlet Fast Charger with an outlet adapter to US. This wasn't a problem to me other than bulkiness just not what I expected.Another thing, in the central midwest, I had a hard time being anywhere where I received good signal strength 4G LTE. I even called AT&T about it and attempted a new SIM card (thinking that possibly the card unlocked certain frequency bands). I ordinarily wouldn't care about this, except the battery statistics constantly say that the cell standby was using most of the battery.This weekend is when the real problem started. I was using the phone and when I looked back after a few seconds, the screen was frozen. I tried to end software but everything was unresponsive--the touch screen and the buttons. I tried restarting the phone: the power button produced no response. With older models, I would remove the battery at this point in time. In the last 2 days, I have tried charging, performing various button press combinations, and even taking the device to an AT&T authorized retailer. This phone is dead. 10 months at about $550.I would not recommend buying this phone unless you have a solid plan for returns/repairs/warranties."
Samsung Galaxy S7 G930F,"January 17, 2017",1.0,The phone stopped working after a few months and we ...,The phone stopped working after a few months and we can't refer to the manufacturers warranty in Vietnam! They have no english support and we were given very little help from Breed or Amazon.
Samsung Galaxy S7 G930F,"January 11, 2018",3.0,it is a very cool phone! it is sturdy,I am more of a Nexus / PIxel User! I bought this phone for my mother! And to be honest! I could have bought a Pixel for the same price! And i would be having less issues! (with issues i mean my mother asking me stuff about samsung apps that don't do anything helpfull) Everything in this phone OS has been modified by Samsung! if you ask me the Samsung layer is completely over rated! Everything is trying to go over the basic android functions but with a Samsung App! That means you have a ton of apps that you can't remove because they are part of the Samsung layer! And you could do exactly the same with the Native andoid tools/apps using less memory!But don't take my word for it! it is a very cool phone! it is sturdy! well made! but again! i bought this one for my Mother! i would never bought this phone for me! i am planing to change my actual NExus 6 phone for a Pixel 2!
Samsung Galaxy S7 G930F,"June 21, 2017",3.0,IT'S A GREAT PHONE OUTSIDE OF THE PURPLE LINE,I WOULD ASSUME BECAUSE THIS PHONE MAY HAVE BEEN REFURBISHED. HOURS AFTER UNBOXING I HAD A PERMANENT PURPLE LINE THAT IS DUE TO A MANUFACTURER DEFECT. THE COMPANY I CAN SAY IS RELUCTANT TO SEND REPLACEMENTS SO I STILL HAVE MY ORIGINAL PURCHASED PHONE. IT'S A GREAT PHONE OUTSIDE OF THE PURPLE LINE. WORD TO THE WISE THE PHONE SERIES HAVE A SCREEN DEFECT DON'T EVEN BOTHER WITH IT. THERE ARE MANY PROBLEMS THAT S7 SERIES HOLDS
Samsung Galaxy S7 G930F,"November 22, 2016",4.0,I purchase this phone from the merchant Mobiles International LLC ...,"I purchase this phone from the merchant Mobiles International LLC and was shipped by amazon, the phone was unlock brand new and came in a seal box. I live in Trinidad and it was fully unlock."
Samsung Galaxy S7 G930F,"June 11, 2017",2.0,Never knew not having a warranty on my phone would ...,"Never knew not having a warranty on my phone would make my life so much harder.I dropped it accidentally once and the screen got a crack across yet, Samsung service centre is refusing to fix it even with the fees paid.So here I am with a f'd up phone whilst it lasts."
Samsung Galaxy S7 G930F,"March 16, 2018",4.0,So far so good. I have choosen Exynos version of processor from ...,"So far so good. I have choosen Exynos version of processor from international stock. Phone is unlocked, looks new. No broken box etc. Contact with seller was good, and they answered all questions. The only problem with s7 is that the front screen and gold edges get dirty really fast. Finger prints all over the place. Phone after initial set up got the newest available system update to Nougat. Works fast. Hope it will keep working like that."
Samsung Galaxy S7 G930F,"October 25, 2017",5.0,Very satisfied with this phone,"I love this phone, a big upgrade from my samsung s5, fast, perfect size, elegant look, very easy to use. Most important, it was in original seal."
Samsung Galaxy S7 G930F,"February 17, 2018",1.0,DO NOT PURCHASE FROM WIRELESS EVERYTHING/WIRELESS PLACE,My phone froze for about 3 seconds then stopped working. Will not turn on or charge. I googled every way to fix it. No safe mode or recovery mode. No way to fix it. On my invoice it says seller was Wireless Everything. After clicking on it it says seller Wireless Place. They had a number that I tried calling only leading to voicemail. I tried contacting them and nothing. Save yourself from a future problem. I purchased twice from them. Lost my first phone.My second just stopped working after year. Never been dropped or wet. Had it in a folding case. Purchase from another seller.
Samsung Galaxy S7 G930F,"July 29, 2017",5.0,Samsung galaxy done right,Absolutely in love with my Samsung galaxy s7. The phone lasts for a long time compared to most phones and it fits comfortably on one hand. This is similar to the iphones such as the fingerprint unlocking is pressed down like the iphones. Also to get the sim card and the SD card out you need a pin just like the iphones. The SD card allows the phone to hold more space than the 32GB that is included in the phone. Also this phone is pretty slim unlike my former Samsung Note 4.
Samsung Galaxy S7 G930F,"April 5, 2018",5.0,Still a great phone!,"An awesome phone and considering the age and the price it definitely holds up to any modern smartphone, not surprising because it's only two and a half years old. But it's upgradeable to the current Android software and comes with all the features you would expect. Love the water resistance especially coming from a phone that had no water resistance. My only complaint is sometimes switching to Bluetooth to phone and headphones causes a glitch where the sound well only come out of the phone speaker and not the main speaker, however this only happens rarely and usually a restart will fix it. Overall I love this phone probably be best phone I've ever had, would definitely recommend if you need a good smartphone and want to have a little cheaper price:)"
Samsung Galaxy S7 G930F,"February 4, 2017",5.0,Great phone,"Loved every minute of this phone. Going on 6 months now.Has only frozen on me one time, not sure why.Only complaint is the lack of a removable battery."
Samsung Galaxy S7 G930F,"May 13, 2016",4.0,Good Hardware Design with Bloatware.,"The hardware of this phone is reaaaaaaally decent but the software is not, I really dislike the bloatware Samsung put into the phone. My previous phone is Nexus 5, I pretty like the Google apps. There is something called Package disabler on Google Play store, non-free but only $0.99. I spent an afternoon disable the pre-installed applications and installed Google apps. It turns out very good.I don't like the screen color BTW, seems too saturated to me.I ordered a black color, but it came with Champagne color, seems good to me, and I'll keep it."
Samsung Galaxy S7 G930F,"October 12, 2017",1.0,I do not trust this seller.,"This phone has given me nothing but problems over the last year. I was hesitant to make a review but the motherboard crashed now, and cannot afford to fix it. There was no way this was a new S7 with all the problems I have been having, and it really sucks to be in this situation after spending so much money."
Samsung Galaxy S7 G930F,"May 12, 2017",5.0,Five Stars,Great comes brand new with original box and accessories.
Samsung Galaxy S7 G930F,"December 12, 2016",4.0,A very delicate beast of a phone,"This phone is a beast! It performs perfectly. Be careful with it though, it is easily scratched and screen cracks with the slightest drop. Protect it well! I took off a star cause this gorilla glass is questionable at best"
Samsung Galaxy S7 G930F,"May 23, 2016",5.0,This is hands down the best mobile I have ever had to date,This is hands down the best mobile I have ever had to date.  As a flagship device I am not sure there is anything I would rather have.  The camera has to be the best upgraded feature as it's stunning how it blows away my previous iPhone shots.  The waterproof shell is outstanding and I couldn't ask for a better device.
Samsung Galaxy S7 G930F,"December 14, 2017",1.0,DON'T PURCHASE SCREEN STOPPED WORKING AFTER ONLY 7 MONTHS!,Screen stopped working after only 7 months for no reason at all.  DO NOT BUY! Paid $600 for JUNK!
Samsung Galaxy S7 G930F,"December 21, 2017",2.0,don't by factory unlocked,lesson learned don't by factory unlocked. buy for the provider you have
Samsung Galaxy S7 G930F,"May 27, 2016",4.0,No charger BUT otherwise great!,"This phone is GREAT, it's all I hoped it would be. I would have given it 5 stars BUT I did not get a charging port that is compatible with the regular wall socket 😒, instead I got this adapter which has no ends for a wall socket & that was it so I was upset but i just used my old Samsung  charger since this was an upgrade. Apart from THAT problem everything was GREAT"
Samsung Galaxy S7 G930F,"October 21, 2016",3.0,Nice phone but I returned it because it could not ...,Nice phone but I returned it because it could not connect to US Cellular. I had hoped to use it in the US before returning to Zimbabwe.
Samsung Galaxy S7 G930F,"January 1, 2018",1.0,DO NOT BUY IT!,"I bought it and I found out that it is a chinese, not original version. I tried to download samsung apps and does not let me because it is a fake samsung version, a chinese cheap version of the phone and they charged me full price for it."
Samsung Galaxy S7 G930F,"June 16, 2016",5.0,Works in Mexico!,So far so good!  We bought the phone for use in Mexico.  It works!! Easy to change out our old micro chip for the new nano chip this phone uses.  Easy step by step information transfer. We bought additional storage just in case.
Samsung Galaxy S7 G930F,"December 14, 2016",5.0,Deal!,"Came ready to use out of the box! I didn't have to use a Euro sim first or request an unlock code from Samsung. Just as good as an American S7, some say better because of the Exynos 8890 processor. Great deal!"
Samsung Galaxy S7 G930F,"December 23, 2017",4.0,Good,"The phone came in perfect condition. It came with some bloatware, which I don't understand why, because it is supposed that this phone is the international version."
Samsung Galaxy S7 G930F,"March 27, 2017",5.0,Five Stars,This phone is excellent and the camera is amazing.
Samsung Galaxy S7 G930F,"November 29, 2016",5.0,G930F Working great,"Working great with T-mobile.  Even though is shows no bars for phone reception on the display, I still get great reception at my home in Minnesota USA with the International Version G930F"
