_topic_	_term_	_role_	_weight_
accessories	headphone		1
accessories	adapter		1
accessories	cover		1
accessories	protector		1
accessories	jack		1
accessories	socket		1
accessories	charger		1
accessories	dual sim		1
accessories	chip		1
accessories	sticker		1
accessories	gorilla		1
accessories	plug		1
accessories	memory card		1
accessories	earphones		1
accessories	guard		1
accessories	scratch guard		1
accessories	case		1
accessories	casing		1
accessories	port		1
accessories	cord		1
accessories	microsd		1
accessories	screen protector		1
accessories	sim		1
accessories	headset		1
accessories	head set		1
accessories	batteries		1
accessories	skin		1
accessories	SD card		1
accessories	nano		1
accessories	alarm		1
accessories	earbuds		1
accessories	silicone		1
accessories	silicone case		1
accessories	tray		1
accessories	usb		1
accessories	usb connector		1
accessories	sensor		1
accessories	firmware		1
accessories	firm ware		1
accessories	spyware		1
accessories	spy ware		1
accessories	hardware		1
accessories	liquid cooling		1
accessories	sim card		1
accessories	battery life		1
accessories	phone battery		1
accessories	gorilla glass		1
accessories	nano sim		1
accessories	charging port		1
accessories	sim cards		1
accessories	micro sd		1
accessories	case screen		1
accessories	touch screen		1
accessories	headphone jack		1
accessories	home button		1
accessories	card slot		1
accessories	wi fi		1
accessories	home screen		1
accessories	internal memory		1
accessories	good battery		1
accessories	card tray		1
accessories	water resistant		1
accessories	factory reset		1
accessories	screen resolution		1
accessories	phone screen		1
accessories	power button		1
accessories	use sd		1
accessories	case phone		1
accessories	phone box		1
accessories	one sim		1
accessories	great battery		1
accessories	phone charge		1
accessories	mp camera		1
accessories	phone gb		1
accessories	micro usb		1
accessories	phone camera		1
accessories	g lte		1
accessories	features like		1
accessories	water resistance		1
accessories	months battery		1
accessories	water proof		1
accessories	phone case		1
accessories	protector already		1
accessories	sim sd		1
accessories	also comes		1
accessories	battery great		1
accessories	charger phone		1
accessories	finger print		1
accessories	gb internal		1
accessories	battery last		1
accessories	sd cards		1
accessories	phone charging		1
accessories	gb storage		1
accessories	would charge		1
accessories	card sd		1
accessories	new battery		1
accessories	use sim		1
accessories	charger came		1
accessories	put sim		1
accessories	micro sim		1
accessories	protective case		1
accessories	screen size		1
accessories	new sim		1
accessories	always display		1
accessories	nice camera		1
accessories	black screen		1
accessories	r hd		1
accessories	wireless place		1
accessories	phone display		1
accessories	mah battery		1
accessories	screen shattered		1
accessories	removable battery		1
accessories	battery would		1
accessories	protector case		1
accessories	internal storage		1
accessories	sd memory		1
accessories	storage gb		1
accessories	screen cracked		1
accessories	comes case		1
accessories	quad hd		1
accessories	gb sd		1
accessories	plenty storage		1
accessories	replace battery		1
accessories	usb c		1
accessories	screen protectors		1
accessories	sim slot		1
accessories	phone charger		1
accessories	came screen		1
accessories	protector phone		1
accessories	charger work		1
accessories	wireless charger		1
accessories	lock screen		1
accessories	two sims		1
accessories	memory makes		1
accessories	sd slot		1
accessories	enough memory		1
accessories	wireless everything		1
accessories	screen damaged		1
accessories	screen good		1
accessories	phone touch		1
